NewLevel,/background2.png,97,343
35,324,Checkpoint,0.5,0
35,423,Floor,0.2,0
399,423,Floor,0.2,0
217,423,Floor,0.2,0
581,423,Floor,0.2,0
665,387,3spikes,1.0,0
588,387,3spikes,1.0,0
443,324,SpeedBoost,0.08,0
868,297,3spikes,1.0,0
945,423,Floor,0.2,0
764,333,Floor,0.2,0
946,356,Cannon,0.2,0
1208,324,SpeedBoost,0.08,0
1646,227,SpeedBoost,0.08,0
2100,248,Platform,0.2,0
2151,149,SpeedBoost,0.08,0
1127,423,Floor,0.2,0
1604,325,Floor,0.2,0
2606,175,Floor,0.2,0
2607,76,Checkpoint,0.5,0
2787,175,Floor,0.2,0
3065,-175,Wall,0.5,180
3067,244,Wall,0.5,0
3067,212,Platform,0.2,0
3319,-176,Wall,0.5,180
3317,244,Wall,0.5,0
3317,212,Platform,0.2,0
3584,244,Wall,0.5,0
3583,212,Platform,0.2,0
3579,-176,Wall,0.5,180
3715,164,Cog,0.5,0
3857,132,Platform,0.2,0
3932,94,1spikes,0.5,0
4150,67,Platform,0.2,0
4151,32,3spikes,1.0,0
4089,255,Platform,0.2,0
4477,182,3spikes,1.0,0
4373,219,Platform,0.2,0
4348,-97,Platform,0.2,0
4530,-25,Platform,0.2,0
4927,68,Platform,0.2,0
5031,32,3spikes,1.0,0
5304,177,Platform,0.2,0
5408,141,3spikes,1.0,0
4404,171,Coin,0.5,0
5652,333,Platform,0.2,0
5727,295,1spikes,0.5,0
5959,238,Platform,0.2,0
6019,189,Cog,0.5,0
4634,-61,3spikes,1.0,0
6296,333,Floor,0.2,0
6477,333,Floor,0.2,0
6658,333,Floor,0.2,0
7563,333,Floor,0.2,0
6296,234,Checkpoint,0.5,0
6839,333,Floor,0.2,0
7048,266,Cannon,0.2,0
7020,163,Wall,0.5,0
7020,333,Floor,0.2,0
7020,163,Floor,0.2,0
7201,333,Floor,0.2,0
7382,414,Floor,0.2,0
7165,294,1spikes,0.5,0
7165,193,1spikes,0.5,180
7460,376,1spikes,0.5,0
7870,337,Generator,2.0,0,3
7850,432,Platform,0.2,0
8083,244,Platform,0.2,0
8032,464,Platform,0.2,0
8214,496,Platform,0.2,0
8395,528,Platform,0.2,0
8577,560,Platform,0.2,0
8215,457,1spikes,0.5,0
8395,489,1spikes,0.5,0
8577,522,1spikes,0.5,0
9079,656,Platform,0.2,0
9152,608,Cog,0.5,0
9290,504,Platform,0.2,0
9510,375,Platform,0.2,0
9291,225,Platform,0.2,0
9369,465,1spikes,0.5,0
9590,337,1spikes,0.5,0
9368,186,1spikes,0.5,0
8998,120,Platform,0.2,0
9071,81,1spikes,0.5,0
8734,12,Platform,0.2,0
8803,-27,1spikes,0.5,0
8554,-158,Wall,0.5,180
8554,-187,Floor,0.2,0
1302,424,1spikes,0.5,90
1568,324,1spikes,0.5,270
1785,325,1spikes,0.5,90
2062,249,1spikes,0.5,270
2281,250,1spikes,0.5,90
3096,-134,Cannon,0.2,90
3348,-132,Cannon,0.2,90
3610,-129,Cannon,0.2,90
4561,-86,SpeedBoost,0.08,0
4409,-160,SpeedBoost,0.08,0
4946,4,SpeedBoost,0.08,0
5321,113,SpeedBoost,0.08,0
5613,333,1spikes,0.5,270
5831,333,1spikes,0.5,90
6483,266,SpeedBoost,0.08,0
6780,263,SpeedBoost,0.08,0
6983,249,3spikes,1.0,270
6981,162,1spikes,0.5,270
8114,392,SpeedBoost,0.08,0
8660,496,SpeedBoost,0.08,0
8756,561,1spikes,0.5,90
8735,-186,1spikes,0.5,90
8557,41,1spikes,0.5,180
8543,-314,Helicopter,0.1,0
