NewLevel,/background3.png,115,250
110,333,Checkpoint,0.5,0
110,431,Floor,0.2,0
292,431,Floor,0.2,0
374,331,JumpBoost,0.08,0
474,130,Platform,0.2,0
556,31,JumpBoost,0.08,0
854,-98,Platform,0.2,0
958,-134,3spikes,1.0,0
1058,-204,Platform,0.2,0
1137,-243,1spikes,0.5,0
1345,-236,Floor,0.2,0
1528,-406,Wall,0.5,0
1528,-605,Wall,0.5,0
1427,-335,JumpBoost,0.08,0
1182,-605,Platform,0.2,0
1528,-654,Coin,0.5,0
1223,-672,Cannon,0.2,0
1611,-762,Platform,0.2,0
1715,-798,3spikes,1.0,0
1756,-1164,Wall,0.5,0
1613,-861,JumpBoost,0.08,0
1724,-1262,JumpBoost,0.08,0
1912,-1612,JumpBoost,0.08,0
1948,-1513,Wall,0.5,0
2124,-1931,JumpBoost,0.08,0
2158,-1831,Wall,0.5,0
2298,-2267,JumpBoost,0.08,0
2326,-2167,Wall,0.5,0
2380,-2432,Platform,0.2,0
2380,-2530,JumpBoost,0.08,0
2310,-2391,Cog,0.5,0
2562,-2578,Platform,0.2,0
2484,-2468,3spikes,1.0,0
2617,-2614,3spikes,1.0,0
2804,-2686,Platform,0.2,0
2803,-3032,Platform,0.2,0
2805,-2786,JumpBoost,0.08,0
2906,-3000,3spikes,1.0,180
2885,-3131,JumpBoost,0.08,0
2803,-3342,Platform,0.2,0
2802,-3310,3spikes,1.0,180
2882,-3381,1spikes,0.5,0
2465,-3294,Wall,0.5,0
1998,-3171,Wall,0.5,0
1508,-2906,Wall,0.5,0
996,-2681,Wall,0.5,0
484,-2582,Platform,0.2,0
505,-2675,Generator,2.0,0,2
207,-2670,Platform,0.2,0
2239,-3127,Wall,0.5,0
1796,-3023,Wall,0.5,0
1255,-2780,Wall,0.5,0
769,-2576,Wall,0.5,0
195,-2794,Helicopter,0.1,0
1497,-2962,Cog,0.5,0
