NewLevel,/background3.png,143,381
77,362,Checkpoint,0.5,0
77,461,Floor,0.2,0
258,461,Floor,0.2,0
440,461,Floor,0.2,0
585,490,Wall,0.5,180
585,689,Floor,0.2,0
621,623,Cannon,0.2,0
767,689,Floor,0.2,0
912,718,Wall,0.5,0
912,917,Floor,0.2,0
947,849,Cannon,0.2,0
1093,917,Floor,0.2,0
1237,1144,Floor,0.2,0
1237,946,Wall,0.5,0
1274,1077,Cannon,0.2,0
1418,1144,Floor,0.2,0
1600,1144,Floor,0.2,0
1662,1075,SpeedBoost,0.08,0
2049,1050,Platform,0.2,0
2154,1014,3spikes,1.0,0
2053,961,JumpBoost,0.08,0
2175,637,Platform,0.2,0
2092,613,Invincibility,0.07,0
2189,601,3spikes,1.0,0
2267,601,3spikes,1.0,0
2467,530,Platform,0.2,0
2779,378,Checkpoint,0.5,0
2779,477,Floor,0.2,0
3164,513,1spikes,0.5,0
3095,551,Platform,0.2,0
3983,226,Platform,0.2,0
4059,188,1spikes,0.5,0
3930,-757,Checkpoint,0.5,0
3848,-658,Platform,0.2,0
3666,-658,Platform,0.2,0
3484,-658,Platform,0.2,0
3302,-724,Cannon,0.2,0
3302,-658,Platform,0.2,0
3485,-775,SpeedBoost,0.08,0
3083,-829,Wall,0.5,180
3028,-1243,Cannon,0.2,0
2989,-1176,Floor,0.2,0
3233,-1004,Floor,0.2,0
3415,-1174,Wall,0.5,0
3623,-1497,Cannon,0.2,0
3584,-1430,Floor,0.2,0
3828,-1258,Floor,0.2,0
4169,-1774,Cannon,0.2,0
4130,-1707,Floor,0.2,0
4374,-1535,Floor,0.2,0
4556,-1705,Wall,0.5,0
4924,-1909,Checkpoint,0.5,0
4923,-1810,Floor,0.2,0
5275,-1819,Wall,0.5,0
5256,-1882,SpeedBoost,0.08,0
5643,-1893,Wall,0.5,0
5626,-1957,SpeedBoost,0.08,0
5995,-1984,Wall,0.5,0
5979,-2049,SpeedBoost,0.08,0
6394,-2083,Platform,0.2,0
6482,-2118,3spikes,1.0,0
6404,-2118,3spikes,1.0,0
6392,-2223,Platform,0.2,0
6403,-2192,3spikes,1.0,180
6481,-2192,3spikes,1.0,180
6348,-2168,Invincibility,0.07,0
6625,-1986,Platform,0.2,0
6901,-2062,Platform,0.2,0
6944,-2146,JumpBoost,0.08,0
6884,-2413,Platform,0.2,0
6956,-2451,1spikes,0.5,0
8102,-3128,Platform,0.2,0
8556,-3665,Platform,0.2,0
4224,48,Floor,0.2,0
4613,-199,Platform,0.2,0
4717,-234,3spikes,1.0,0
4429,-64,Platform,0.2,0
4666,-391,3spikes,1.0,180
4770,-458,3spikes,1.0,0
4666,-423,Platform,0.2,0
4451,-269,3spikes,1.0,180
4347,-301,Platform,0.2,0
4347,-336,3spikes,1.0,0
4438,-499,3spikes,1.0,180
4334,-530,Platform,0.2,0
4412,-568,1spikes,0.5,0
4090,-608,Platform,0.2,0
3444,-1173,Floor,0.2,0
4038,-1427,Floor,0.2,0
4586,-1705,Floor,0.2,0
8098,-3834,Antenna,2.0,0
8600,-3768,ButtonOff,0.2,0
8090,-3641,Platform,0.2,0
4011,-1428,Wall,0.5,0
3373,478,MovingPlatform,0.2,0,3335,3996,5,0,0,0
7229,-2497,Platform,0.2,0
7276,-2581,JumpBoost,0.08,0
7451,-2841,1spikes,0.5,0
7370,-2803,Platform,0.2,0
7638,-2922,Platform,0.2,0
7638,-3020,Checkpoint,0.5,0
7460,-3196,Platform,0.2,0
7566,-3158,3spikes,1.0,180
7933,-3044,Wall,0.5,0
7933,-3358,1spikes,0.5,0
8409,-3374,1spikes,0.5,0
8333,-3336,Platform,0.2,0
7620,-3665,Platform,0.2,0
7861,-3320,Platform,0.2,0
7718,-3494,Platform,0.2,0
8417,-3512,Platform,0.2,0
1779,1144,1spikes,0.5,90
7617,-3789,Helicopter,0.1,0
