NewLevel,/background2.png,142,364
80,345,Checkpoint,0.5,0
80,444,Floor,0.2,0
261,444,Floor,0.2,0
443,444,Floor,0.2,0
1166,444,Floor,0.2,0
984,444,Floor,0.2,0
806,444,Floor,0.2,0
625,444,Floor,0.2,0
212,345,Invincibility,0.07,0
347,408,3spikes,1.0,0
269,408,3spikes,1.0,0
424,408,3spikes,1.0,0
502,408,3spikes,1.0,0
578,408,3spikes,1.0,0
888,408,3spikes,1.0,0
966,408,3spikes,1.0,0
1042,408,3spikes,1.0,0
1120,408,3spikes,1.0,0
1197,408,3spikes,1.0,0
1275,408,3spikes,1.0,0
1352,408,3spikes,1.0,0
1430,408,3spikes,1.0,0
656,408,3spikes,1.0,0
734,408,3spikes,1.0,0
811,408,3spikes,1.0,0
1347,444,Floor,0.2,0
1166,303,Floor,0.2,0
625,303,Floor,0.2,0
443,303,Floor,0.2,0
262,303,Floor,0.2,0
262,104,Wall,0.5,180
984,303,Floor,0.2,0
801,133,Wall,0.5,0
1021,236,Cannon,0.2,0
984,104,Wall,0.5,0
1384,264,Invincibility,0.07,0
1020,156,Floor,0.2,0
1354,156,Floor,0.2,0
1509,274,Wall,0.5,0
1363,62,Generator,2.0,0,2
1509,75,Floor,0.2,0
1509,75,Wall,0.5,0
1173,-39,Platform,0.2,0
801,-66,Wall,0.5,0
859,298,Invincibility,0.07,0
619,114,Floor,0.2,0
984,-94,Wall,0.5,0
626,78,3spikes,1.0,0
262,-94,Wall,0.5,180
438,15,Checkpoint,0.5,0
438,114,Floor,0.2,0
495,267,3spikes,1.0,0
497,145,3spikes,1.0,180
726,195,Cog,0.5,0
331,171,Invincibility,0.07,0
619,172,Invincibility,0.07,0
299,-84,Floor,0.2,0
262,-293,Wall,0.5,180
262,-491,Wall,0.5,180
529,-247,Floor,0.2,0
837,-286,Floor,0.2,0
1018,-456,Wall,0.5,0
299,-120,3spikes,1.0,0
632,-283,3spikes,1.0,0
850,-321,3spikes,1.0,0
930,-321,3spikes,1.0,0
299,-380,Floor,0.2,0
374,-418,1spikes,0.5,0
1003,-506,Cog,0.5,0
801,-456,Wall,0.5,180
619,-456,Floor,0.2,0
1250,-77,1spikes,0.5,0
1274,-513,Cannon,0.2,180
1231,-544,Floor,0.2,0
262,-689,Wall,0.5,180
1242,-580,3spikes,1.0,0
1322,-580,3spikes,1.0,0
1555,-49,Helicopter,0.5,0
1195,157,1spikes,0.5,90
1314,157,1spikes,0.5,270
983,-143,Coin,0.5,0
