NewLevel,/background.png,455,853
-1,596,Wall,0.5,180
-1,397,Wall,0.5,180
-1,198,Wall,0.5,180
-1,-1,Wall,0.5,180
-1,-200,Wall,0.5,180
-1,-400,Wall,0.5,180
-1,-600,Wall,0.5,180
-1,-799,Wall,0.5,180
0,-999,Wall,0.5,180
0,-1198,Wall,0.5,180
0,-1397,Wall,0.5,180
0,-1596,Wall,0.5,180
0,-1795,Wall,0.5,180
0,-1995,Wall,0.5,180
37,-959,Platform,0.2,0
219,-959,Platform,0.2,0
36,-997,3spikes,1.0,0
113,-997,3spikes,1.0,0
189,-997,3spikes,1.0,0
267,-998,3spikes,1.0,0
343,-1001,1spikes,0.5,0
371,-1002,1spikes,0.5,0
364,-1425,Platform,0.2,0
693,934,Floor,0.2,0
327,934,Floor,0.2,0
146,934,Floor,0.2,0
-37,934,Floor,0.2,0
874,-2032,Floor,0.2,0
695,-2032,Floor,0.2,0
510,934,Floor,0.2,0
30,-1777,Platform,0.2,0
30,-1812,3spikes,1.0,0
1029,-2001,Wall,0.5,0
1029,-1803,Wall,0.5,0
950,-1936,3spikes,1.0,0
849,-1899,Platform,0.2,0
952,-1712,3spikes,1.0,0
847,-1673,Platform,0.2,0
848,-1727,Coin,0.5,0
909,-1644,Cannon,0.2,180
1029,-1404,Wall,0.5,0
1029,-1605,Wall,0.5,0
126,-1600,Platform,0.2,0
165,-1632,1spikes,0.5,0
1029,-818,Wall,0.5,0
1029,-1207,Wall,0.5,0
1029,-1016,Wall,0.5,0
951,-1009,3spikes,1.0,0
876,-1009,3spikes,1.0,0
848,-972,Platform,0.2,0
666,-972,Platform,0.2,0
799,-1008,3spikes,1.0,0
182,-1181,1spikes,0.5,0
30,-1143,Platform,0.2,0
67,-1241,Checkpoint,0.5,0
211,-1270,Platform,0.2,0
367,-1307,1spikes,0.5,0
847,-1125,Platform,0.2,0
598,-1268,Platform,0.2,0
642,-1538,Platform,0.2,0
443,-800,MovingPlatform,0.2,0,159,744,5,0,0,0
444,-836,3spikes,1.0,0
778,-576,Cannon,0.2,180
701,-607,Platform,0.2,180
806,-642,3spikes,1.0,0
278,-587,Platform,0.2,0
426,-636,Coin,0.5,0
277,-623,3spikes,1.0,0
554,-402,Cannon,0.2,180
626,-527,Checkpoint,0.5,0
472,-427,Platform,0.2,0
747,-229,Platform,0.2,0
1028,-223,Wall,0.5,0
1028,-423,Wall,0.5,0
1028,-623,Wall,0.5,0
814,-295,Cannon,0.2,0
30,675,1spikes,0.5,0
30,715,Platform,0.2,0
513,-478,Cog,0.5,0
1026,366,Wall,0.5,0
1027,-27,Wall,0.5,0
1026,167,Wall,0.5,0
434,-1397,Cannon,0.2,180
177,-2014,Floor,0.2,0
-2,-2014,Floor,0.2,0
0,-2212,Wall,0.5,0
-2,-2411,Wall,0.5,0
1025,-2229,Wall,0.5,0
1024,-2428,Wall,0.5,0
327,-2052,1spikes,0.5,0
695,-2071,1spikes,0.5,0
95,-2059,Coin,0.5,0
712,-1308,1spikes,0.5,0
721,-1576,1spikes,0.5,0
955,-1164,1spikes,0.5,0
297,-200,Platform,0.2,0
293,-240,1spikes,0.5,0
1025,560,Wall,0.5,0
1027,753,Wall,0.5,0
874,933,Floor,0.2,0
434,713,Platform,0.2,0
484,553,Platform,0.2,0
133,678,3spikes,1.0,0
477,675,3spikes,1.0,0
843,713,Platform,0.2,0
921,676,3spikes,1.0,0
417,-1772,MovingPlatform,0.2,0,0,0,0,-2033,-1772,5
437,-1865,Generator,2.0,0,2
241,196,Coin,0.5,0
91,242,Platform,0.2,0
90,206,3spikes,1.0,0
668,217,3spikes,1.0,0
567,254,Platform,0.2,0
590,217,3spikes,1.0,0
548,-23,Platform,0.2,0
362,122,Platform,0.2,0
220,455,Platform,0.2,0
221,416,1spikes,0.5,0
291,406,Cog,0.5,0
31,453,Platform,0.2,0
34,385,Cannon,0.2,0
911,471,Cannon,0.2,180
844,438,Platform,0.2,0
954,400,1spikes,0.5,0
767,-2155,Helicopter,0.1,0
