NewLevel,/background.png,123,410
72,394,Checkpoint,0.5,0
237,312,Platform,0.2,0
38,191,Platform,0.2,0
150,132,Coin,0.5,0
38,154,3spikes,1.0,0
340,273,3spikes,1.0,0
445,583,Floor,0.2,0
465,546,3spikes,1.0,0
540,546,3spikes,1.0,0
237,492,Floor,0.2,0
59,492,Floor,0.2,0
4122,381,1spikes,0.5,180
4334,-19,Floor,0.2,0
4153,254,Platform,0.2,0
4115,181,Wall,0.5,180
4769,407,Platform,0.2,0
4768,547,Platform,0.2,0
4152,-19,Floor,0.2,0
4115,-19,Wall,0.5,180
5061,633,Floor,0.2,0
5425,633,Floor,0.2,0
5670,504,Platform,0.2,0
5955,408,Platform,0.2,0
5243,633,Floor,0.2,0
5253,595,3spikes,1.0,0
5443,596,3spikes,1.0,0
6158,515,Platform,0.2,0
6163,475,3spikes,1.0,0
6256,475,3spikes,1.0,0
6299,371,Floor,0.2,0
6481,371,Floor,0.2,0
6660,371,Floor,0.2,0
6487,201,Floor,0.2,0
6664,201,Floor,0.2,0
7023,201,Wall,0.5,0
6841,201,Floor,0.2,0
6921,334,3spikes,1.0,0
6842,371,Floor,0.2,0
6919,231,3spikes,1.0,180
992,248,Wall,0.5,0
992,446,Wall,0.5,0
1032,573,Cannon,0.2,0
1037,640,Floor,0.2,0
855,640,Floor,0.2,0
677,640,Floor,0.2,0
1022,520,Floor,0.2,0
1204,376,Floor,0.2,0
1022,376,Floor,0.2,0
1018,309,Cannon,0.2,0
2162,844,Floor,0.2,0
2344,844,Floor,0.2,0
2200,743,Checkpoint,0.5,0
991,209,1spikes,0.5,0
811,521,Platform,0.2,0
810,410,Platform,0.2,0
1017,246,Floor,0.2,0
809,245,Platform,0.2,0
809,146,Checkpoint,0.5,0
1462,582,Cog,0.5,0
1218,640,Floor,0.2,0
1396,640,Floor,0.2,0
1519,478,1spikes,0.5,0
1398,520,Floor,0.2,0
1553,324,Wall,0.5,0
1552,125,Wall,0.5,0
1485,155,1spikes,0.5,180
1468,88,3spikes,1.0,0
1370,125,Floor,0.2,0
1390,88,3spikes,1.0,0
1617,795,MovingPlatform,0.2,0,1581,1983,5,0,0,0
3176,808,3spikes,1.0,0
3111,845,Floor,0.2,0
3090,844,Wall,0.5,0
2731,1014,Floor,0.2,0
2908,1014,Floor,0.2,0
2995,935,Cog,0.5,0
2732,947,Cannon,0.2,0
2520,843,Floor,0.2,0
2698,844,Wall,0.5,0
2523,647,Wall,0.5,0
3292,845,Floor,0.2,0
3474,845,Floor,0.2,0
2891,642,1spikes,0.5,90
2818,674,3spikes,1.0,180
2788,674,1spikes,0.5,180
2711,674,3spikes,1.0,180
2712,641,Platform,0.2,0
2672,641,1spikes,0.5,270
4292,704,Floor,0.2,0
4110,704,Floor,0.2,0
3928,704,Floor,0.2,0
3746,704,Floor,0.2,0
3884,667,3spikes,1.0,0
3357,808,1spikes,0.5,0
3573,808,3spikes,1.0,0
4148,16,3spikes,1.0,90
4147,90,3spikes,1.0,90
4148,171,3spikes,1.0,90
4145,287,Cannon,0.2,180
4472,703,Platform,0.2,0
4629,509,Wall,0.5,0
4629,310,Wall,0.5,0
4482,148,Platform,0.2,0
4629,280,Floor,0.2,0
4271,418,Floor,0.2,0
4447,553,Floor,0.2,0
4833,500,Cog,0.5,0
4924,370,1spikes,0.5,0
5062,532,Checkpoint,0.5,0
6987,270,3spikes,1.0,270
6772,275,Generator,2.0,0,3
6807,77,Helicopter,0.1,0
4430,-66,Coin,0.5,0
